Episode,Steps,Epsilon
639,92,0.4744112444319528
640,85,0.4739368331875209
641,75,0.47346289635433336
642,84,0.472989433457979
643,102,0.47251644402452103
644,81,0.4720439275804965
645,101,0.471571883652916
646,75,0.4711003117692631
647,70,0.4706292114574938
648,103,0.4701585822460363
649,94,0.46968842366379027
650,67,0.46921873524012647
651,82,0.46874951650488633
652,77,0.46828076698838145
653,68,0.46781248622139304
654,71,0.46734467373517163
655,62,0.4668773290614365
656,72,0.46641045173237505
657,79,0.46594404128064265
658,88,0.465478097239362
659,88,0.46501261914212266
660,62,0.46454760652298055
661,83,0.46408305891645757
662,85,0.46361897585754114
663,74,0.4631553568816836
664,88,0.4626922015248019
665,77,0.4622295093232771
666,82,0.4617672798139538
667,94,0.46130551253413987
668,83,0.4608442070216057
669,101,0.46038336281458414
670,94,0.4599229794517696
671,84,0.45946305647231783
672,87,0.4590035934158455
673,94,0.4585445898224297
674,89,0.45808604523260726
675,92,0.45762795918737464
676,60,0.4571703312281873
677,118,0.4567131608969591
678,78,0.45625644773606217
679,97,0.4558001912883261
680,94,0.4553443910970378
681,74,0.45488904670594077
682,81,0.45443415765923484
683,74,0.4539797235015756
684,86,0.45352574377807403
685,83,0.453072218034296
686,70,0.45261914581626167
687,85,0.45216652667044543
688,85,0.451714360143775
689,81,0.4512626457836312
690,65,0.4508113831378475
691,74,0.45036057175470967
692,63,0.44991021118295493
693,75,0.449460300971772
694,77,0.4490108406708002
695,61,0.44856182983012943
696,93,0.4481132680002993
697,78,0.447665154732299
698,72,0.4472174895775667
699,93,0.44677027208798914
700,76,0.44632350181590114
701,72,0.44587717831408524
702,98,0.4454313011357712
703,76,0.4449858698346354
704,101,0.44454088396480074
705,71,0.44409634308083595
706,92,0.4436522467377551
707,94,0.44320859449101735
708,74,0.4427653858965263
709,59,0.44232262051062976
710,64,0.4418802978901191
711,75,0.441438417592229
712,95,0.44099697917463676
713,53,0.4405559821954621
714,85,0.44011542621326666
715,82,0.4396753107870534
716,77,0.4392356354762664
717,70,0.4387963998407901
718,60,0.4383576034409493
719,99,0.43791924583750835
720,73,0.4374813265916708
721,72,0.43704384526507917
722,67,0.43660680141981406
723,90,0.43617019461839424
724,66,0.43573402442377585
725,63,0.4352982903993521
726,63,0.43486299210895274
727,65,0.4344281291168438
728,67,0.43399370098772694
729,106,0.4335597072867392
730,92,0.43312614757945245
731,77,0.432693021431873
732,62,0.4322603284104411
733,75,0.43182806808203067
734,60,0.43139624001394866
735,66,0.43096484377393474
736,64,0.4305338789301608
737,107,0.43010334505123066
738,83,0.42967324170617943
